ID;year;constructorId;name;points;wins;target;avg_driver_points;avg_grid_position;avg_final_position;dnf_count;total_driver_points
60;1962;97;Gilby;0.0;0;0;0.0;6.333333333333333;22.666666666666668;3;0.0
61;1962;99;Emeryson;0.0;0;0;0.0;12.0;17.6;4;0.0
62;1962;100;ENB;0.0;0;0;0.0;25.0;16.0;1;0.0
63;1962;170;Cooper-Climax;29.0;1;0;1.5517241379310345;10.172413793103448;9.793103448275861;13;200.0
64;1962;172;Lotus-Climax;36.0;3;0;0.6461538461538462;8.0;13.96923076923077;42;200.0
65;1962;174;De Tomaso-Osca;0.0;0;0;0.0;0.0;28.0;1;0.0
66;1962;175;De Tomaso-Alfa Romeo;0.0;0;0;0.0;0.0;23.0;1;0.0
67;1962;176;Lotus-BRM;1.0;0;0;0.07142857142857142;6.0;20.0;13;1.0
68;1962;177;Lotus-Borgward;0.0;0;0;0.0;0.0;31.0;1;0.0
69;1962;178;Cooper-Alfa Romeo;0.0;0;0;0.0;15.0;15.0;1;0.0
70;1963;6;Ferrari;26.0;1;0;1.35;4.7;11.85;15;161.0
71;1963;26;Lola;0.0;0;0;0.0;12.5;14.1875;10;0.0
72;1963;32;Team Lotus;0.0;0;0;0.0;0.0;23.0;1;0.0
73;1963;34;Brabham;28.0;0;0;1.65;6.15;9.35;13;156.0
74;1963;51;Alfa Romeo;0.0;0;0;0.0;16.0;15.0;1;0.0
75;1963;54;ATS;0.0;0;0;0.0;10.411764705882353;19.235294117647058;15;0.0
76;1963;66;BRM;36.0;2;0;2.4074074074074074;5.7407407407407405;8.777777777777779;16;334.0
77;1963;86;De Tomaso;0.0;0;0;0.0;0.0;23.666666666666668;3;0.0
78;1963;89;LDS;0.0;0;0;0.0;17.5;15.5;1;0.0
79;1963;92;Scirocco;0.0;0;0;0.0;8.428571428571429;20.142857142857142;14;0.0
80;1963;94;BRP;6.0;0;0;1.2;8.8;10.8;4;15.0
81;1963;95;Porsche;5.0;0;0;0.38461538461538464;12.538461538461538;15.076923076923077;6;17.0
82;1963;97;Gilby;0.0;0;0;0.0;6.333333333333333;21.333333333333332;3;0.0
83;1963;98;Stebro;0.0;0;0;0.0;10.5;15.5;1;0.0
84;1963;167;Cooper-Maserati;0.0;0;0;0.0;9.5;19.0;1;0.0
85;1963;170;Cooper-Climax;25.0;0;0;0.9411764705882353;8.911764705882353;10.529411764705882;19;207.0
86;1963;172;Lotus-Climax;54.0;7;1;2.0555555555555554;6.527777777777778;12.277777777777779;22;351.0
87;1963;173;Lotus-Maserati;0.0;0;0;0.0;0.0;33.0;1;0.0
88;1963;176;Lotus-BRM;4.0;0;0;0.11764705882352941;11.941176470588236;14.205882352941176;25;34.0
89;1963;177;Lotus-Borgward;0.0;0;0;0.0;0.0;26.0;1;0.0
90;1963;179;De Tomaso-Ferrari;0.0;0;0;0.0;0.0;28.0;1;0.0
91;1963;180;Lotus-Ford;0.0;0;0;0.0;15.0;14.0;0;0.0
92;1964;6;Ferrari;45.0;3;1;2.909090909090909;5.7727272727272725;7.545454545454546;11;253.0
93;1964;11;Honda;0.0;0;0;0.0;15.333333333333334;14.666666666666666;3;0.0
94;1964;66;BRM;42.0;2;0;1.8421052631578947;10.552631578947368;9.763157894736842;21;401.0
95;1964;92;Scirocco;0.0;0;0;0.0;6.666666666666667;19.666666666666668;3;0.0
96;1964;94;BRP;5.0;0;0;0.35714285714285715;12.428571428571429;12.5;9;16.0
97;1964;95;Porsche;0.0;0;0;0.0;17.0;17.0;1;0.0
